Model,Accuracy,Precision (Macro),Precision (Weighted),Recall (Macro),Recall (Weighted),F1 Score (Macro),F1 Score (Weighted),CV Mean F1,CV Std F1,Training Time (s),Prediction Latency (ms/sample)
Random Forest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9989,0.0023,0.3829,0.2177
Extra Trees,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9977,0.0021,0.5784,0.1765
LightGBM,0.9955,0.9959,0.9959,0.9955,0.9955,0.9955,0.9955,0.996,0.0014,4.0384,0.1283
CatBoost,0.9955,0.9957,0.9957,0.9955,0.9955,0.9955,0.9955,0.9972,0.0018,3.3955,0.0214
XGBoost,0.9932,0.9937,0.9937,0.9932,0.9932,0.993,0.993,0.9954,0.0039,1.2355,0.1105
HistGradientBoosting,0.9909,0.9915,0.9915,0.9909,0.9909,0.9909,0.9909,0.9949,0.0038,3.778,0.1052
